movieNm,movieCd,image,link,userRating
미션 임파서블: 폴아웃,20181181,https://ssl.pstatic.net/imgmovie/mdi/mit110/1542/154222_P07_114856.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=154222,9.12
인크레더블 2,20183361,https://ssl.pstatic.net/imgmovie/mdi/mit110/1369/136990_P27_140604.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136990,9.23
인랑,20170942,https://ssl.pstatic.net/imgmovie/mdi/mit110/1099/109906_P00_103901.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=109906,3.85
신비아파트: 금빛 도깨비와 비밀의 동굴,20185242,https://ssl.pstatic.net/imgmovie/mdi/mit110/1748/174805_P12_100714.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174805,8.72
앤트맨과 와스프,20180522,https://ssl.pstatic.net/imgmovie/mdi/mit110/1443/144330_P05_110325.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144330,8.62
마녀,20185341,https://ssl.pstatic.net/imgmovie/mdi/mit110/1866/186657_P01_113547.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=186657,10.00
스카이스크래퍼,20181443,https://ssl.pstatic.net/imgmovie/mdi/mit110/1603/160375_P06_173757.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=160375,7.63
어느 가족,20186121,https://ssl.pstatic.net/imgmovie/mdi/mit110/1721/172174_P20_110537.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=172174,9.21
독전: 익스텐디드 컷,20188042,https://ssl.pstatic.net/imgmovie/mdi/mit110/1581/158178_P57_114234.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=158178,7.53
신은 죽지 않았다 3: 어둠 속의 빛,20186001,https://ssl.pstatic.net/imgmovie/mdi/mit110/1723/172344_P10_103439.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=172344,8.38
신과함께-인과 연,20186202,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167697_P01_113354.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167697,7.71
극장판 헬로카봇 : 백악기 시대,20186501,https://ssl.pstatic.net/imgmovie/mdi/mit110/1757/175727_P08_154401.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=175727,9.23
맘마미아!2,20181942,https://ssl.pstatic.net/imgmovie/mdi/mit110/1641/164115_P50_104521.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164115,8.96
공작,20179101,https://ssl.pstatic.net/imgmovie/mdi/mit110/1536/153687_P54_102718.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=153687,6.85
몬스터 호텔 3,20184802,https://ssl.pstatic.net/imgmovie/mdi/mit110/1696/169643_P26_103310.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=169643,8.59
